Count,Number,GSL_24,ROST.LEN_26,LACR.W_30,POSTORB.W_32,MASTOID_34,C1.C1_37,M3.M3_38,GLENO.L_44,MAX.TOOTH_h,DEN.L_46,LOW.TR_49,MOM1.COR_52,MOM2.ANG_53,DEN.TH_57,CON.L_60,MASS.MUSC_c,Locality,Sex
43,163832,18.2,7.05,6.61,3.76,8.91,2.71,4.16,1.74,6.67,13.92,7.33,4.11,2.68,1.72,1.97,4.69,caribbean,F
44,42184,18.09,6.59,6.78,3.81,9.02,2.74,4.1,1.73,6.43,13.49,6.98,3.66,2.62,1.69,1.93,4.89,caribbean,NA
45,176095,18.07,6.52,6.48,3.83,9.27,2.62,4.09,1.73,6.58,14.06,7.32,3.98,2.52,1.97,1.94,4.59,caribbean,NA
46,176094,18.01,6.31,6.34,3.86,8.96,2.65,3.96,1.74,6.28,13.17,6.96,3.86,2.45,1.69,1.72,4.35,caribbean,M
47,176093,18.29,6.54,6.05,3.86,8.69,2.57,3.58,1.77,6.55,13.49,7.07,3.67,2.69,1.79,1.78,4.3,caribbean,M
48,4907,18.03,6.55,6.39,3.87,8.81,2.75,3.57,1.77,6.52,13.53,7.04,3.85,2.73,1.94,1.63,4.39,caribbean,M
49,176092,17.91,6.31,6.55,3.94,8.89,2.84,3.77,1.59,6.16,13.55,6.87,3.76,2.71,1.88,1.89,4.59,caribbean,F
50,176091,18.02,6.47,6.48,3.81,8.96,2.56,3.7,1.66,6.47,13.52,8.81,3.96,2.64,1.86,1.99,4.53,caribbean,F
51,176090,17.76,6.46,6.47,3.87,9.07,2.74,3.91,1.72,6.44,13.63,6.96,3.93,2.64,2.04,1.63,4.41,caribbean,F
52,185334,18.09,6.51,6.44,4.02,9.02,2.61,4.27,1.77,6.51,13.47,7.04,3.67,2.52,1.63,1.75,4.73,caribbean,NA
53,145019,19.35,8.63,7.65,4.21,9.96,2.57,4.77,1.86,5.65,14.6,7.92,4.16,2.94,1.88,2.1,4.95,mesoamerica,NA
54,265129,20.13,8.51,7.63,4.13,10.02,3.14,4.43,1.68,6.03,15.56,8.35,4.15,3.2,1.95,2.12,4.94,mesoamerica,F
55,144964,19.18,8.22,7.59,4.03,9.98,3.27,4.45,2.08,5.81,15.23,8.25,5.52,2.99,2.04,2.31,5.07,mesoamerica,NA
56,265128,19.8,8.22,7.56,3.96,9.98,3.18,4.3,1.98,5.97,15.66,8.25,4.46,3.02,2.28,2.12,4.98,mesoamerica,F
57,265127,19.18,7.88,7.49,4.47,10.25,2.99,4.63,1.86,5.65,15.06,8.01,4.44,2.99,1.81,2.11,4.93,mesoamerica,F
58,126898,20.68,8.79,7.89,4.67,10.42,3.32,5.13,2.48,6.21,15.8,8.55,4.47,3.41,2.27,2.23,5.45,mesoamerica,F
59,126747,19.35,8.6,7.89,4.52,9.96,3.17,4.55,2.01,5.94,15.55,8.43,4.56,2.92,2.3,2.36,5.08,mesoamerica,F
60,126895,20.88,8.35,7.7,4.44,9.94,3.19,4.47,1.95,6.05,15.79,8.32,4.58,3.09,2.37,2.27,4.94,mesoamerica,F
61,126890,20.71,8.4,8.42,4.19,10.54,3.66,4.76,2.02,6.01,15.89,8.56,4.68,3.12,2.94,2.4,4.3,mesoamerica,F
62,126893,20.4,8.62,8.05,4.36,10.39,3.28,4.5,2.09,5.95,15.77,8.38,4.51,2.92,2.77,2.17,4.61,mesoamerica,F
63,126892,19.69,8.29,7.65,4.27,10.33,3.46,4.64,1.73,5.78,15.95,8.27,4.65,2.88,2.47,2.25,4.86,mesoamerica,F
64,126894,20.07,8.23,7.47,4.5,10.11,3.33,4.68,1.94,5.77,15.21,8.35,4.55,2.98,2.49,2.23,4.48,mesoamerica,F
65,126891,19.86,8.31,7.62,4.25,10.24,3.14,4.75,2.19,5.82,15.73,8.31,4.68,3.21,1.98,2.25,5.04,mesoamerica,F
66,126896,20.64,8.63,7.46,4.21,10.74,3.3,4.6,2.01,6.02,16.63,8.3,4.85,3.43,2.06,2.33,5.57,mesoamerica,F
67,126748,20.26,8.61,7.95,4.57,10.2,3.38,4.64,1.72,6.18,15.51,8.37,4.52,3.18,2.69,2.21,4.47,mesoamerica,F
68,126897,19.96,8.06,7.52,4.42,10.42,3.21,4.88,2.11,5.87,15.54,8.21,4.51,2.91,2.19,2.22,4.79,mesoamerica,F
69,179921,19.11,8.04,7.5,4.15,9.89,3.45,4.77,2.06,5.77,15.37,8.22,4.26,3.19,2.2,2.15,4.96,mesoamerica,NA
70,1268,18.4,7.7,7.11,3.83,10.24,2.71,4.31,1.54,5.45,14.61,7.65,4.06,3,2.14,1.92,4.76,mesoamerica,M
71,175012,20.93,8.7,8.37,4.32,10.25,3.38,4.84,1.82,5.85,16.16,8.47,4.51,3.11,2.05,2.47,5.24,mesoamerica,M
72,166052,20.88,8.22,7.56,4.15,10.11,2.57,4.64,2.01,5.77,15.65,8.02,4.41,3.04,2.7,2.33,4.83,mesoamerica,NA
73,18743,19.76,7.37,7.54,4.22,9.76,3.61,4.24,1.95,5.93,15,8.29,4.36,3.31,2.22,2.04,4.85,mesoamerica,M
74,18745,20.08,8.02,7.82,4.31,10.04,3.43,4.51,2.08,6.09,15.48,8.3,4.48,3.2,2.28,2.06,4.98,mesoamerica,F
75,18744,18.57,8.01,7.6,4.27,9.42,2.72,4.16,2.19,5.81,15.09,8.23,4.33,3.06,2.05,2.02,4.95,mesoamerica,F
76,143003,20.22,8.04,7.62,4.2,10.12,2.67,4.28,2.14,6.01,15.62,8.46,4.66,3.05,2.03,2.13,5.59,mesoamerica,F
77,167681,19.63,8.11,7.67,4.29,9.5,3.46,4.29,1.87,6.01,14.71,8.24,4.43,2.55,1.8,2.01,4.4,southern_na,M
78,202906,19.53,8.11,7.63,4.41,10.48,2.84,4.33,1.84,5.85,15.49,8.21,4.27,2.79,1.99,2.13,4.83,southern_na,F
79,202912,19.43,7.92,7.49,4.69,9.5,2.9,4.29,1.87,5.66,14.36,8.1,4.17,2.98,1.8,1.98,4.81,southern_na,M
80,202907,19.29,7.62,7.79,4.47,10.16,3.06,4.4,1.99,5.49,14.81,7.63,4.08,3.01,2.02,2.11,4.43,southern_na,F
81,167680,19.82,8.03,7.52,4.41,9.73,2.75,4.19,1.93,5.93,14.89,8.32,4.26,2.98,1.9,1.78,4.56,southern_na,F
82,121728,19.43,8.07,7.8,4.67,9.92,3.13,4.64,1.69,5.48,14.95,7.97,4.45,3.12,1.95,2.01,4.82,southern_na,NA
83,32624,17.63,7.37,7.3,3.89,9.65,2.67,3.92,1.66,5.57,13.76,7.57,4.05,2.5,1.75,1.99,4.52,southern_na,F
84,31332,19.41,8.16,7,4.21,10.21,2.98,4.06,1.83,5.56,14.64,6.72,4.69,2.98,2.15,1.87,5.08,southern_na,F
85,31061,19.86,8.43,8.55,4.42,10.62,3.06,4.57,1.89,6.1,14.86,8.08,5.04,3.13,1.86,2.23,5.36,southern_na,F
86,993,18.29,7.95,7.52,4.19,9.68,2.72,3.85,1.88,5.41,14.02,7.85,4.81,2.99,1.84,2.05,4.95,southern_na,M
87,33826,19.83,8.17,8.01,4.18,10.41,3.15,4.4,1.92,5.81,14.54,8.09,4.74,3.12,2.02,2.16,4.67,southern_na,F
88,34483,18.38,7.67,7.43,4.15,9.33,2.65,3.78,1.75,5.59,13.96,7.93,4.48,2.85,1.81,1.85,4.63,southern_na,M
