species,lon,lat
Eptesicus fuscus miradorensis,-102.0783589,26.96168131
Eptesicus fuscus miradorensis,-103.4119394,19.55448798
Eptesicus fuscus miradorensis,-103.1006396,21.68200963
Eptesicus fuscus miradorensis,-97.704722,17.237222
Eptesicus fuscus miradorensis,-99.206665,19.2675
Eptesicus fuscus miradorensis,-98.37869372,18.51871919
Eptesicus fuscus miradorensis,-101.816006,21.83271949
Eptesicus fuscus miradorensis,-87.666667,14.468621
Eptesicus fuscus miradorensis,-88.110381,14.316697
Eptesicus fuscus miradorensis,-91.292682,15.34222
Eptesicus fuscus miradorensis,-103.7170659,20.67717484
Eptesicus fuscus miradorensis,-103.5913679,22.33494891
Eptesicus fuscus miradorensis,-103.6695067,20.13945979
Eptesicus fuscus miradorensis,-103.3231257,19.38698417
Eptesicus fuscus miradorensis,-93.835831,16.559166
Eptesicus fuscus miradorensis,-98.746696,19.366301
Eptesicus fuscus miradorensis,-97.18365745,16.24799689
Eptesicus fuscus miradorensis,-96.47003016,16.07633737
Eptesicus fuscus miradorensis,-92.727856,15.662112
Eptesicus fuscus miradorensis,-103.445692,26.069997
Eptesicus fuscus miradorensis,-92.124987,15.235382
Eptesicus fuscus miradorensis,-99.711389,18.366944
Eptesicus fuscus miradorensis,-97.124722,16.122222
Eptesicus fuscus miradorensis,-99.44626753,22.8440674
Eptesicus fuscus miradorensis,-97.26782811,19.02897234
Eptesicus fuscus miradorensis,-104.0632406,19.82594299
Eptesicus fuscus miradorensis,-104.2171638,19.73310978
Eptesicus fuscus miradorensis,-104.683333,20.1625
Eptesicus fuscus miradorensis,-99.48160461,17.29191896
Eptesicus fuscus miradorensis,-99.036944,22.644167
Eptesicus fuscus miradorensis,-99.76844564,17.68903181
Eptesicus fuscus miradorensis,-99.923611,24.104444
Eptesicus fuscus miradorensis,-105.786083,26.861417
Eptesicus fuscus miradorensis,-98.241386,19.166944
Eptesicus fuscus miradorensis,-104.7137434,20.27240588
Eptesicus fuscus miradorensis,-105.1352476,20.37388664
Eptesicus fuscus miradorensis,-96.761667,17.143333
Eptesicus fuscus miradorensis,-100.0745846,23.341829
Eptesicus fuscus miradorensis,-90.37116,15.33854
Eptesicus fuscus miradorensis,-99.243865,19.006419
Eptesicus fuscus miradorensis,-105.37,23.408333
Eptesicus fuscus miradorensis,-104.3268954,19.5029192
Eptesicus fuscus miradorensis,-103.6092092,19.61069466
Eptesicus fuscus miradorensis,-101.6040719,19.47888767
Eptesicus fuscus miradorensis,-92.696944,16.729167
Eptesicus fuscus miradorensis,-99.189864,18.750156
Eptesicus fuscus miradorensis,-92.872778,17.118889
Eptesicus fuscus miradorensis,-90.52694,14.54838
Eptesicus fuscus miradorensis,-105.46512,23.6858553
Eptesicus fuscus miradorensis,-100.041389,19.043333
Eptesicus fuscus miradorensis,-97.24284618,19.53879455
Eptesicus fuscus miradorensis,-97.191667,19.625
Eptesicus fuscus miradorensis,-103.0599685,19.89943708
Eptesicus fuscus miradorensis,-99.25124575,23.58703842
Eptesicus fuscus miradorensis,-97.68613818,19.07649887
Eptesicus fuscus miradorensis,-96.59086663,16.28827655
Eptesicus fuscus miradorensis,-98.26454145,23.4557192
Eptesicus fuscus miradorensis,-99.7540228,23.57682015
Eptesicus fuscus miradorensis,-99.64653094,23.50593451
Eptesicus fuscus miradorensis,-100.026389,19.37
Eptesicus fuscus miradorensis,-99.60592,18.401129
Eptesicus fuscus miradorensis,-91.73908552,16.09524273
Eptesicus fuscus miradorensis,-98.727544,20.118391
Eptesicus fuscus miradorensis,-103.3463174,20.72058818
Eptesicus fuscus miradorensis,-96.89088169,18.87731758
Eptesicus fuscus miradorensis,-83.91667,9.86667
Eptesicus fuscus miradorensis,-84.083336,9.933333
Eptesicus fuscus miradorensis,-97.22061523,19.71311051
Eptesicus fuscus miradorensis,-97.06811135,19.63561456
Eptesicus fuscus miradorensis,-89.13333,14.38333
Eptesicus fuscus miradorensis,-98.078672,19.499636
Eptesicus fuscus miradorensis,-92.404319,17.756418
Eptesicus fuscus miradorensis,-96.92155,19.589
Eptesicus fuscus miradorensis,-97.365722,19.047139
Eptesicus fuscus miradorensis,-99.29011225,20.82527514
Eptesicus fuscus miradorensis,-98.68648102,19.12841141
Eptesicus fuscus miradorensis,-98.621944,19.022778
Eptesicus fuscus miradorensis,-103.1893721,20.2905645
Eptesicus fuscus miradorensis,-104.8941369,21.51661241
Eptesicus fuscus miradorensis,-74.083333,4.6
Eptesicus fuscus miradorensis,-84.911306,10.348439
Eptesicus fuscus miradorensis,-95.1325,17.735834
Eptesicus fuscus miradorensis,-92.134167,16.251111
Eptesicus fuscus miradorensis,-104.619118,22.560595
Eptesicus fuscus miradorensis,-105.3375,23.821667
Eptesicus fuscus miradorensis,-82.448194,8.777232
Eptesicus fuscus miradorensis,-104.088489,22.624728
Eptesicus fuscus miradorensis,-96.991667,18.791667
Eptesicus fuscus miradorensis,-104.610167,24.051
Eptesicus fuscus miradorensis,-99.691667,17.558333
Eptesicus fuscus miradorensis,-102.247047,19.532522
Eptesicus fuscus miradorensis,-102.925761,18.808017
Eptesicus fuscus miradorensis,-102.410953,19.439867
Eptesicus fuscus miradorensis,-102.289878,18.155561
Eptesicus fuscus miradorensis,-96.959444,17.818333
Eptesicus fuscus miradorensis,-106.106056,26.488722
Eptesicus fuscus miradorensis,-106.106056,26.740972
Eptesicus fuscus miradorensis,-96.891667,19.225
Eptesicus fuscus miradorensis,-96.98,16.511667
Eptesicus fuscus miradorensis,-96.025,16.258333
Eptesicus fuscus miradorensis,-91,14.816667
Eptesicus fuscus miradorensis,-90.116667,16.783333
